segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
193761560,5,1,6,148,3,5,10,
2754570,5,1,6,330,3,5,12,
4133480,5,1,6,100,3,5,8,
776347141,5,1,7,56,3,5,0,
1090427360,5,1,6,25,3,5,3,
880722961,5,1,6,99,2,5,9,
90001619380690,5,1,6,66,3,5,0,
90000312720180,5,1,7,101,3,5,4,
6691541,4,1,6,50,2,5,0,
144517480,5,1,6,41,2,5,6,
302528721,5,1,6,22,2,5,3,
90002039871470,5,1,6,225,4,5,11,
855486340,5,1,6,54,2,5,15,
886529331,5,1,6,34,4,5,5,
725799470,5,1,6,82,3,5,0,
90000883909321,5,1,7,26,2,5,0,
3933390,5,1,6,94,3,5,9,
90001676323870,5,1,6,86,3,5,4,
3182550,5,1,6,10,3,0,5,
543771460,5,1,6,99,4,5,8,
4132310,5,1,6,41,3,5,0,
422596520,5,1,6,101,3,5,0,
6701041,5,1,6,23,2,5,8,
90001559823350,5,1,7,59,2,5,10,
90000883641180,5,1,6,158,2,5,6,
90000285787821,5,2,5,13,1,5,3,
872792070,5,1,6,76,2,5,0,
90000384932150,5,1,6,105,2,5,6,
90000246583601,5,1,6,40,3,5,8,
90000001338400,5,1,6,70,4,5,0,
6057688890,5,2,5,20,2,5,3,
333259720,5,1,6,35,3,5,5,
90000220159421,5,1,6,42,4,5,9,
189752310,5,1,6,137,3,6,15,
90001562143411,4,1,6,258,3,5,10,
1116127320,5,1,6,31,2,5,3,
5284480,5,1,6,29,3,0,0,
417748390,5,1,6,169,3,5,13,
90001832695000,5,1,5,85,2,5,3,
90000579839920,5,1,6,55,3,5,0,
90000437372231,5,1,7,8,2,0,5,
90001177121101,5,1,6,40,3,5,7,
90001823672890,5,1,6,18,3,5,8,
90000220262461,5,1,6,89,4,5,5,
143668230,5,1,6,16,3,5,0,
90001800878660,5,2,5,63,3,5,6,
490954700,5,1,6,30,2,5,3,
1024211640,5,1,6,58,2,5,8,
90001244260211,5,1,6,24,3,5,11,
141906691,5,1,6,17,2,5,5,
98973460,5,1,6,9,2,5,2,
776355051,5,1,6,21,3,5,0,
425693441,5,1,6,90,3,5,0,
90001577307631,5,1,6,102,3,5,2,
4708240,5,1,7,45,2,5,0,
90001693278040,5,1,7,203,4,5,13,
90000331455720,5,1,7,403,4,0,0,
90000219803980,5,1,6,83,3,5,10,
6085009930,5,2,5,74,1,5,0,
735186010,5,1,6,31,4,5,0,
197919981,5,1,6,14,4,5,1,
90000219492901,5,1,6,43,3,5,4,
90000013223940,5,1,6,96,4,5,0,
90000001235590,5,1,6,12,3,5,2,
90000331225810,5,1,6,34,3,5,9,
90001378265151,5,1,6,205,3,5,7,
90000253198130,5,1,6,18,3,5,8,
158277940,5,1,6,41,2,5,1,
855484600,5,1,6,114,2,5,6,
90000863934230,5,1,6,551,3,5,15,
90000219781440,5,1,6,223,3,5,13,
734998271,5,1,6,26,3,5,0,
90000891701031,5,1,6,56,3,5,2,
90001569817560,5,1,6,52,2,5,0,
90001582464081,5,1,6,60,3,5,9,
6302390,5,1,6,53,3,5,4,
708233821,5,1,6,59,4,5,0,
90000220471800,5,1,6,30,3,5,5,
492335161,5,1,6,149,3,5,5,
433410650,5,1,6,106,3,5,8,
90001847406291,5,1,6,105,3,5,9,
90001802311270,5,1,7,47,2,5,3,
730833650,5,1,7,63,1,5,0,
90001058651981,5,1,6,44,2,5,0,
90000572164320,5,1,6,25,2,5,0,
5769461,5,1,6,68,3,5,14,
90001433447520,5,1,6,95,3,5,10,
90000310374760,5,1,6,29,3,5,4,
880721520,5,1,7,113,2,5,5,
623475920,5,1,6,230,3,5,7,
422363361,5,1,6,30,3,5,4,
180621680,5,1,6,218,3,5,0,
553130361,5,1,6,209,4,5,15,
879137360,5,1,6,69,2,5,6,
1032018350,5,1,6,152,3,5,11,
146140720,5,1,7,12,4,5,2,
611370971,5,1,6,37,2,5,9,
328311690,5,1,6,67,3,5,9,
90000306515680,5,1,6,221,4,5,5,
322657380,5,1,7,18,2,5,0,
6201805140,5,1,6,118,1,5,7,
297846671,5,1,6,60,2,5,6,
90000257272881,5,1,6,12,3,5,5,
90000287208250,5,1,6,20,3,5,6,
90001200977481,5,1,6,17,3,5,6,
202776240,5,1,6,60,3,5,8,
6358161,5,1,6,13,3,5,0,
416363771,5,1,7,19,2,5,1,
90000250470151,5,1,6,90,2,5,3,
90001738364601,5,1,6,113,2,5,11,
879051520,5,1,7,13,5,5,5,
6027657461,5,1,6,112,3,5,10,
304254850,5,1,6,34,2,5,11,
877579221,5,1,6,11,4,5,6,
90001427796230,5,1,6,25,3,5,12,
879449671,5,2,5,57,2,5,3,
90001426903331,5,1,6,391,3,5,1,
90000888753971,5,1,6,63,3,5,0,
90000823472671,5,1,6,250,3,5,1,
90000001255991,5,1,6,37,3,5,0,
90001625460961,5,1,6,109,4,5,7,
322621830,5,1,6,49,2,5,10,
500354430,5,1,6,118,4,5,3,
3846301,5,1,6,28,3,5,10,
146142081,5,1,6,21,3,5,7,
90001991593690,5,1,6,98,2,5,5,
90000220226971,5,1,6,11,2,5,1,
887400001,5,1,6,64,2,5,8,
90001056956611,5,1,7,242,2,5,13,
856237170,5,1,6,17,4,5,3,
90001178874081,5,1,6,64,4,5,10,
776349541,5,1,6,44,3,5,9,
90001806385760,5,1,6,86,3,5,9,
2639101,5,1,6,115,4,5,7,
90000271443911,4,2,6,59,3,5,12,
145314731,5,1,6,61,4,5,0,
878364890,5,1,6,435,2,5,1,
880511970,5,1,6,188,3,5,8,
90001908751491,5,1,6,62,3,5,0,
90000236819441,5,1,6,14,3,5,8,
425668781,5,1,7,75,3,3,0,
415082901,5,1,7,9,4,5,0,
6072217271,5,1,6,31,2,5,2,
90001817565730,5,1,6,56,2,5,4,
90000777064581,5,1,6,41,3,5,8,
90001831216131,5,1,6,14,3,5,4,
3025341,5,1,6,95,3,5,10,
90000362661320,5,1,6,124,4,5,3,
5552301,4,1,6,13,3,5,0,
90000220163500,5,1,6,85,2,5,3,
879015150,5,1,6,99,2,5,6,
90000874095481,5,1,6,79,3,5,0,
501017941,5,1,6,36,2,5,11,
5076810,5,1,6,15,3,5,0,
2962121,5,1,6,89,3,5,0,
880527360,5,1,7,478,2,5,6,
180572221,4,1,5,14,3,5,5,
202671660,5,1,6,54,2,5,9,
90000249878680,5,1,6,83,4,5,0,
1012767811,5,1,6,19,2,5,5,
4827761,5,1,6,56,3,5,4,
90001806009720,4,1,5,11,2,5,0,
90001291791290,5,1,6,21,1,5,6,
877290441,5,1,7,76,3,5,1,
748034951,5,1,6,31,3,5,5,
198832891,5,1,6,111,3,5,4,
187297821,5,1,7,116,2,5,9,
795462861,5,1,6,27,3,5,0,
90001890146381,5,1,6,80,3,5,0,
3935300,3,2,5,98,2,5,12,
90002045122800,5,2,6,24,3,5,2,
90000823013811,5,1,7,31,2,5,0,
90000920103120,5,1,6,10,2,5,8,
6023191801,5,1,6,60,2,5,6,
90000994772811,5,1,6,19,3,5,4,
433304161,5,1,6,27,2,5,3,
5272130,5,1,6,77,2,5,0,
90001427978140,5,1,6,130,2,5,8,
553167290,5,1,6,259,3,5,13,
879140070,5,1,6,28,3,5,9,
499114571,5,1,6,127,3,5,4,
90000815972891,5,1,7,26,3,5,12,
90000974967481,5,1,6,131,3,5,6,
90000310936361,5,1,6,73,1,5,6,
90001813294451,5,1,6,17,3,5,0,
878590080,5,1,6,1151,2,5,13,
90000246087281,5,1,6,76,3,5,0,
6071912001,5,1,6,81,4,5,6,
730608461,5,1,6,83,3,5,9,
857084031,5,1,6,481,2,5,14,
90002025316670,5,1,6,19,3,5,5,
5029381,5,1,6,21,3,5,1,
